,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
1960-01-31,,,,31719.0,224140.0,,,,,,,,,,,,,,,,,,,
1960-02-29,,,,31719.0,209986.0,,,,,,,,,,,,,,,,,,,
1960-03-31,,,,31719.0,220977.0,,,,,,,,,,,,,,,,,,,
1960-04-30,,,,31719.0,211132.0,,,,,,,,,,,,,,,,,,,
1960-05-31,,,,31719.0,212296.0,,,,,,,,,,,,,,,,,,,
1960-06-30,,,,31719.0,208161.0,,,,,,,,,,,,,,,,,,,
1960-07-31,,,,31613.0,212645.0,,,,,,,,,,,,,,,,,,,
1960-08-31,,,,31613.0,215145.0,,,,,,,,,,,,,,,,,,,
1960-09-30,,,,31613.0,209119.0,,,,,,,,,,,,,,,,,,,
1960-10-31,,,,31613.0,215687.0,,,,,,,,,,,,,,,,,,,
1960-11-30,,,,31613.0,213992.0,,,,,,,,,,,,,,,,,,,
1960-12-31,,,,31613.0,221653.0,,,,,,,,,,,,,,,,,,,
1961-01-31,,,,31613.0,223497.0,,,,,,,,,,,,,,,,,,,
1961-02-28,,,,31613.0,204274.0,,,,,,,,,,,,,,,,,,,
1961-03-31,,,,31613.0,231596.0,,,,,,,,,,,,,,,,,,,
1961-04-30,,,,31613.0,219846.0,,,,,,,,,,,,,,,,,,,
1961-05-31,,,,31613.0,221553.0,,,,,,,,,,,,,,,,,,,
1961-06-30,,,,31613.0,213084.0,,,,,,,,,,,,,,,,,,,
1961-07-31,,,,31759.0,215699.0,,,,,,,,,,,,,,,,,,,
1961-08-31,,,,31759.0,220218.0,,,,,,,,,,,,,,,,,,,
1961-09-30,,,,31759.0,209848.0,,,,,,,,,,,,,,,,,,,
1961-10-31,,,,31759.0,220942.0,,,,,,,,,,,,,,,,,,,
1961-11-30,,,,31759.0,214566.0,,,,,,,,,,,,,,,,,,,
1961-12-31,,,,31759.0,226635.0,,,,,,,,,,,,,,,,,,,
1962-01-31,,,,31759.0,227756.0,,,,,,,,,,,,,,,,,,,
1962-02-28,,,,31759.0,209072.0,,,,,,,,,,,,,,,,,,,
1962-03-31,,,,31759.0,228661.0,,,,,,,,,,,,,,,,,,,
1962-04-30,,,,31759.0,221737.0,,,,,,,,,,,,,,,,,,,
1962-05-31,,,,31759.0,222969.0,,,,,,,,,,,,,,,,,,,
1962-06-30,,,,31759.0,217712.0,,,,,,,,,,,,,,,,,,,
1962-07-31,,,,31389.0,224018.0,,,,,,,,,,,,,,,,,,,
1962-08-31,,,,31389.0,224240.0,,,,,,,,,,,,,,,,,,,
1962-09-30,,,,31389.0,219589.0,,,,,,,,,,,,,,,,,,,
1962-10-31,,,,31389.0,228380.0,,,,,,,,,,,,,,,,,,,
1962-11-30,,,,31389.0,223231.0,,,,,,,,,,,,,,,,,,,
1962-12-31,,,,31389.0,228824.0,,,,,,,,,,,,,,,,,,,
1963-01-31,,,,31389.0,226420.0,,,,,,,,,,,,,,,,,,,
1963-02-28,,,,31389.0,212437.0,,,,,,,,,,,,,,,,,,,
1963-03-31,,,,31389.0,234289.0,,,,,,,,,,,,,,,,,,,
1963-04-30,,,,31389.0,228270.0,,,,,,,,,,,,,,,,,,,
1963-05-31,,,,31389.0,234499.0,,,,,,,,,,,,,,,,,,,
1963-06-30,,,,31389.0,226853.0,,,,,,,,,,,,,,,,,,,
1963-07-31,,,,30970.0,235144.0,,,,,,,,,,,,,,,,,,,
1963-08-31,,,,30970.0,236830.0,,,,,,,,,,,,,,,,,,,
1963-09-30,,,,30970.0,225207.0,,,,,,,,,,,,,,,,,,,
1963-10-31,,,,30970.0,233610.0,,,,,,,,,,,,,,,,,,,
1963-11-30,,,,30970.0,226321.0,,,,,,,,,,,,,,,,,,,
1963-12-31,,,,30970.0,232843.0,,,,,,,,,,,,,,,,,,,
1964-01-31,,,,30970.0,236337.0,,,,,,,,,,,,,,,,,,,
1964-02-29,,,,30970.0,222947.0,,,,,,,,,,,,,,,,,,,
1964-03-31,,,,30970.0,239068.0,,,,,,,,,,,,,,,,,,,
1964-04-30,,,,30970.0,232185.0,,,,,,,,,,,,,,,,,,,
1964-05-31,,,,30970.0,234742.0,,,,,,,,,,,,,,,,,,,
1964-06-30,,,,30970.0,226808.0,,,,,,,,,,,,,,,,,,,
1964-07-31,,,,30991.0,231648.0,,,,,,,,,,,,,,,,,,,
1964-08-31,,,,30991.0,230926.0,,,,,,,,,,,,,,,,,,,
1964-09-30,,,,30991.0,225965.0,,,,,,,,,,,,,,,,,,,
1964-10-31,,,,30991.0,236304.0,,,,,,,,,,,,,,,,,,,
1964-11-30,,,,30991.0,229029.0,,,,,,,,,,,,,,,,,,,
1964-12-31,,,,30991.0,240863.0,,,,,,,,,,,,,,,,,,,
1965-01-31,,,,30991.0,240946.0,,,,,,,,,,,,,,,,,,,
1965-02-28,,,,30991.0,218612.0,,,,,,,,,,,,,,,,,,,
1965-03-31,,,,30991.0,243763.0,,,,,,,,,,,,,,,,,,,
1965-04-30,,,,30991.0,236844.0,,,,,,,,,,,,,,,,,,,
1965-05-31,,,,30991.0,238253.0,,,,,,,,,,,,,,,,,,,
1965-06-30,,,,30991.0,232440.0,,,,,,,,,,,,,,,,,,,
1965-07-31,,,,31352.0,237606.0,,,,,,,,,,,,,,,,,,,
1965-08-31,,,,31352.0,240180.0,,,,,,,,,,,,,,,,,,,
1965-09-30,,,,31352.0,222529.0,,,,,,,,,,,,,,,,,,,
1965-10-31,,,,31352.0,244122.0,,,,,,,,,,,,,,,,,,,
1965-11-30,,,,31352.0,239635.0,,,,,,,,,,,,,,,,,,,
1965-12-31,,,,31352.0,253584.0,,,,,,,,,,,,,,,,,,,
1966-01-31,,,,31352.0,249459.0,,,,,,,,,,,,,,,,,,,
1966-02-28,,,,31352.0,230733.0,,,,,,,,,,,,,,,,,,,
